sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,84,Abhimanu,https://myneta.info/hp2012/candidate.php?candidate_id=84,DHARAMPUR,HLP,0,Graduate Professional,"Rs 5,10,000 ~ 5 Lacs+",Rs 0 ~
2,45,Ajay K. Dharwal,https://myneta.info/hp2012/candidate.php?candidate_id=45,JOGINDERNAGAR,IND,0,Graduate,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~
3,99,Ajay Kumar,https://myneta.info/hp2012/candidate.php?candidate_id=99,SARKAGHAT,AITC,0,Graduate Professional,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~
4,132,Ajay Mahajan,https://myneta.info/hp2012/candidate.php?candidate_id=132,NURPUR,INC,0,Graduate,"Rs 2,96,20,829 ~ 2 Crore+","Rs 8,97,178 ~ 8 Lacs+"
5,426,Aman Guleria,https://myneta.info/hp2012/candidate.php?candidate_id=426,KANGRA,CPI,0,Graduate Professional,"Rs 5,00,000 ~ 5 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
6,502,Aman Kumar,https://myneta.info/hp2012/candidate.php?candidate_id=502,JAWALI,NCP,0,Post Graduate,"Rs 71,62,525 ~ 71 Lacs+","Rs 1,90,000 ~ 1 Lacs+"
7,415,Amar Chand Pal,https://myneta.info/hp2012/candidate.php?candidate_id=415,ARKI,IND,0,Doctorate,"Rs 86,83,000 ~ 86 Lacs+","Rs 10,50,000 ~ 10 Lacs+"
8,186,Amar Dass,https://myneta.info/hp2012/candidate.php?candidate_id=186,DHARAMSHALA,IND,0,10th Pass,"Rs 1,29,85,792 ~ 1 Crore+","Rs 1,73,308 ~ 1 Lacs+"
9,276,Amer Singh Thakur,https://myneta.info/hp2012/candidate.php?candidate_id=276,DOON,IND,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=hp2012&candidate_id=276&col=ta,https://myneta.info/image_v2.php?myneta_folder=hp2012&candidate_id=276&col=lia
10,86,Anant Ram,https://myneta.info/hp2012/candidate.php?candidate_id=86,NALAGARH,BSP,0,10th Pass,"Rs 18,70,000 ~ 18 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
11,40,Anil Kumar,https://myneta.info/hp2012/candidate.php?candidate_id=40,MANDI,INC,3,12th Pass,"Rs 29,70,94,970 ~ 29 Crore+",Rs 0 ~
12,74,Anil Mankotia,https://myneta.info/hp2012/candidate.php?candidate_id=74,HAMIRPUR,CPM,5,Graduate,"Rs 5,22,000 ~ 5 Lacs+",Rs 0 ~
13,211,Anirudh Singh,https://myneta.info/hp2012/candidate.php?candidate_id=211,KASUMPTI,INC,1,Graduate,"Rs 7,93,30,000 ~ 7 Crore+","Rs 32,00,000 ~ 32 Lacs+"
14,177,Anita Thakur,https://myneta.info/hp2012/candidate.php?candidate_id=177,CHAMBA,IND,0,Graduate Professional,"Rs 42,34,410 ~ 42 Lacs+",Rs 0 ~
15,483,Anita Verma,https://myneta.info/hp2012/candidate.php?candidate_id=483,SUJANPUR,INC,0,Graduate Professional,"Rs 7,15,80,000 ~ 7 Crore+","Rs 11,59,948 ~ 11 Lacs+"
