sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,59,A. Anand,https://myneta.info/Puducherry2016/candidate.php?candidate_id=59,LAWSPET,CPI(M),3,Graduate Professional,"Rs 11,533 ~ 11 Thou+",Rs 0 ~
2,208,A. Anbalagan,https://myneta.info/Puducherry2016/candidate.php?candidate_id=208,OUPALAM,AIADMK,0,10th Pass,"Rs 8,54,20,866 ~ 8 Crore+","Rs 81,07,032 ~ 81 Lacs+"
3,176,A. Annibal Nehru,https://myneta.info/Puducherry2016/candidate.php?candidate_id=176,RAJ BHAVAN,All India N.R. Congress,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=176&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=176&col=lia
4,201,A. Baskar,https://myneta.info/Puducherry2016/candidate.php?candidate_id=201,MUDALIARPET,AIADMK,0,5th Pass,"Rs 10,67,52,351 ~ 10 Crore+","Rs 1,18,49,505 ~ 1 Crore+"
5,251,A. Chandirasekaran,https://myneta.info/Puducherry2016/candidate.php?candidate_id=251,ARIANKUPPAM,MDMK,0,Graduate Professional,"Rs 24,57,850 ~ 24 Lacs+","Rs 3,06,000 ~ 3 Lacs+"
6,16,A. Devasagayam,https://myneta.info/Puducherry2016/candidate.php?candidate_id=16,OZHUKARAI,CPI,2,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=16&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=16&col=lia
7,315,A. Gowri Sankar,https://myneta.info/Puducherry2016/candidate.php?candidate_id=315,OZHUKARAI,IND,0,12th Pass,"Rs 3,64,000 ~ 3 Lacs+",Rs 0 ~
8,267,A. Haridass,https://myneta.info/Puducherry2016/candidate.php?candidate_id=267,MUDALIARPET,Naam Tamilar Katchi,0,8th Pass,"Rs 10,500 ~ 10 Thou+",Rs 0 ~
9,245,A. Irudayanathan,https://myneta.info/Puducherry2016/candidate.php?candidate_id=245,OZHUKARAI,Naam Tamilar Katchi,0,Illiterate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=245&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=245&col=lia
10,34,A. Johnkumar,https://myneta.info/Puducherry2016/candidate.php?candidate_id=34,NELLITHOPE,INC,3,Illiterate,"Rs 37,85,09,326 ~ 37 Crore+","Rs 4,28,69,373 ~ 4 Crore+"
11,37,A. Marimottou,https://myneta.info/Puducherry2016/candidate.php?candidate_id=37,NEDUNGADU,INC,0,Others,"Rs 1,25,12,380 ~ 1 Crore+","Rs 9,21,538 ~ 9 Lacs+"
12,334,A. Mohamad Halid,https://myneta.info/Puducherry2016/candidate.php?candidate_id=334,VILLIANUR,Viduthalai Chiruthaigal Katchi,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=334&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=334&col=lia
13,296,A. Mohammed Yunus,https://myneta.info/Puducherry2016/candidate.php?candidate_id=296,OUPALAM,PMK,0,5th Pass,"Rs 44,47,000 ~ 44 Lacs+",Rs 0 ~
14,62,A. Mohanasundaram,https://myneta.info/Puducherry2016/candidate.php?candidate_id=62,KALAPET,IND,0,10th Pass,"Rs 9,61,558 ~ 9 Lacs+","Rs 1,04,016 ~ 1 Lacs+"
15,14,A. Namassivayam,https://myneta.info/Puducherry2016/candidate.php?candidate_id=14,VILLIANUR,INC,0,Others,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=14&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=14&col=lia
16,49,A. Rabick Mansure,https://myneta.info/Puducherry2016/candidate.php?candidate_id=49,VILLIANUR,SDPI,0,Others,"Rs 4,48,179 ~ 4 Lacs+",Rs 0 ~
17,127,A. Ravindran,https://myneta.info/Puducherry2016/candidate.php?candidate_id=127,ORLEAMPETH,AIADMK,0,8th Pass,"Rs 51,72,365 ~ 51 Lacs+","Rs 14,58,598 ~ 14 Lacs+"
18,99,A.g. Pathimaraj,https://myneta.info/Puducherry2016/candidate.php?candidate_id=99,VILLIANUR,BSP,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=99&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=99&col=lia
19,84,A.geetha,https://myneta.info/Puducherry2016/candidate.php?candidate_id=84,NERAVY T.R. PATTINAM,DMK,1,Post Graduate,"Rs 27,27,34,761 ~ 27 Crore+","Rs 7,37,99,755 ~ 7 Crore+"
20,81,A.m.h. Nazeem,https://myneta.info/Puducherry2016/candidate.php?candidate_id=81,KARAIKAL SOUTH,DMK,5,12th Pass,"Rs 71,34,205 ~ 71 Lacs+",Rs 0 ~
21,282,A.s. Singaravelu,https://myneta.info/Puducherry2016/candidate.php?candidate_id=282,NERAVY T.R. PATTINAM,CPI(ML)(L),0,Others,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=282&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2016&candidate_id=282&col=lia
