sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,42,Abdul Matin Choudhury,https://myneta.info/tripura2013/candidate.php?candidate_id=42,KADAMTALA-KURTI,INC,0,Literate,"Rs 19,26,264 ~ 19 Lacs+",Rs 0 ~
2,137,Abul Kalam,https://myneta.info/tripura2013/candidate.php?candidate_id=137,DHANPUR,BJP,0,8th Pass,"Rs 1,93,912 ~ 1 Lacs+",Rs 0 ~
3,213,Adbul Kayum,https://myneta.info/tripura2013/candidate.php?candidate_id=213,KADAMTALA-KURTI,JD(U),0,8th Pass,"Rs 7,21,020 ~ 7 Lacs+",Rs 0 ~
4,52,Advocate Bidyut Ghosh,https://myneta.info/tripura2013/candidate.php?candidate_id=52,RAMNAGAR,BJP,2,Post Graduate,"Rs 41,70,570 ~ 41 Lacs+","Rs 4,50,000 ~ 4 Lacs+"
5,98,Aghore Debbarma,https://myneta.info/tripura2013/candidate.php?candidate_id=98,ASHARAMBARI (ST),CPI(M),0,Graduate,"Rs 36,51,199 ~ 36 Lacs+","Rs 10,61,517 ~ 10 Lacs+"
6,157,Aghore Debbarma,https://myneta.info/tripura2013/candidate.php?candidate_id=157,MATARBARI,IPFT,0,12th Pass,"Rs 7,20,645 ~ 7 Lacs+","Rs 2,93,000 ~ 2 Lacs+"
7,76,Ahindra Kr. Bhattacharjee,https://myneta.info/tripura2013/candidate.php?candidate_id=76,KAMALPUR,BJP,0,Post Graduate,"Rs 39,300 ~ 39 Thou+",Rs 0 ~
8,199,Amal Basu Chakma,https://myneta.info/tripura2013/candidate.php?candidate_id=199,CHAWMANU (ST),SP,0,8th Pass,"Rs 9,000 ~ 9 Thou+","Rs 6,800 ~ 6 Thou+"
9,27,Amal Mallik,https://myneta.info/tripura2013/candidate.php?candidate_id=27,BELONIA,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=tripura2013&candidate_id=27&col=ta,https://myneta.info/image_v2.php?myneta_folder=tripura2013&candidate_id=27&col=lia
10,268,Amal Sinha,https://myneta.info/tripura2013/candidate.php?candidate_id=268,KAILASHAHAR,CPI(ML)(L),0,12th Pass,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
11,216,Amitabha Datta,https://myneta.info/tripura2013/candidate.php?candidate_id=216,DHARMANAGAR,CPI(M),1,Graduate Professional,"Rs 63,02,210 ~ 63 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
12,145,Amiya Kumar Debbarma,https://myneta.info/tripura2013/candidate.php?candidate_id=145,ASHARAMBARI (ST),INPT,0,Graduate,"Rs 5,12,563 ~ 5 Lacs+","Rs 5,01,000 ~ 5 Lacs+"
13,77,Anadi Sarkar,https://myneta.info/tripura2013/candidate.php?candidate_id=77,SURMA (SC),BJP,0,10th Pass,"Rs 3,48,000 ~ 3 Lacs+",Rs 0 ~
14,141,Ananta Debbarma,https://myneta.info/tripura2013/candidate.php?candidate_id=141,RAMCHANDRAGHAT (ST),INPT,0,12th Pass,"Rs 14,58,827 ~ 14 Lacs+","Rs 55,000 ~ 55 Thou+"
15,92,Anil Sarkar,https://myneta.info/tripura2013/candidate.php?candidate_id=92,PRATAPGARH (SC),CPI(M),0,Post Graduate,"Rs 67,05,063 ~ 67 Lacs+","Rs 4,05,011 ~ 4 Lacs+"
16,139,Animesh Debbarma,https://myneta.info/tripura2013/candidate.php?candidate_id=139,RAMCHANDRAGHAT (ST),IND,0,Graduate Professional,"Rs 18,95,000 ~ 18 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
17,84,Arijit Nath,https://myneta.info/tripura2013/candidate.php?candidate_id=84,KADAMTALA-KURTI,BJP,0,Post Graduate,"Rs 22,37,065 ~ 22 Lacs+","Rs 3,26,000 ~ 3 Lacs+"
18,105,Arun Kumar Chakma,https://myneta.info/tripura2013/candidate.php?candidate_id=105,PECHARTHAL (ST),CPI(M),0,Graduate,https://myneta.info/image_v2.php?myneta_folder=tripura2013&candidate_id=105&col=ta,https://myneta.info/image_v2.php?myneta_folder=tripura2013&candidate_id=105&col=lia
19,7,Asish Kumar Saha,https://myneta.info/tripura2013/candidate.php?candidate_id=7,TOWN BARDOWALI,INC,0,12th Pass,"Rs 28,62,569 ~ 28 Lacs+","Rs 69,621 ~ 69 Thou+"
20,278,Asit Das,https://myneta.info/tripura2013/candidate.php?candidate_id=278,BADHARGHAT (SC),SUCI(C),0,Post Graduate,"Rs 1,000 ~ 1 Thou+",Rs 0 ~
